entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q100308542,Kathryn M Kellogg,,,,,,,,
Q100308543,Rollin J Fairbanks,,,,,,,,
Q100308545,Tamika Auguste,,,,,,,,
Q100308547,Sarah Schwartz,,,,,,,,
Q100308548,Daniel Hernández González,,,,,,,,
Q100308549,Alexander Kimp,,,,,,,,
Q100308550,Samuel Jc Crofts,,,,,,,,
Q100308554,Rui Li,,,,,,,,
Q100308555,Changchang Yin,,,,,,,,
Q100308556,Samuel Yang,,,,,,,,
Q100308557,Buyue Qian,,,,,,,,
Q100308565,Denisa Irianti,,,,,,,,
Q100308566,Ting-Ni Jen,,,,,,,,
Q100308568,Pavankumar Mulgund,,,,,,,,
Q100308570,Raj Sharman,,,,,,,,
Q100308571,Priya Anand,,,,,,,,
Q100308572,Shashank Shekhar,,,,,,,,
Q100308573,Priya Karadi,,,,,,,,
Q100308575,Sophie Woodrow,,,,,,,,
Q100308577,Bernd Pohlmann-Eden,,,,,,,,
Q100308580,Silke C Eden,,,,,,,,
Q100308612,Michael O'Donovan,,,,,,,,
Q100308620,Smbat Melkonyan,Смбат Мелконян,,,,,,,
Q100308648,Phyllis G. Supino,,,,,,,,
Q100308651,Carter M. Suryadevara,,,,,,,,
Q100308653,Christopher Nizza,,,,,,,,
Q100308655,Elihu L. Sussman,,,,,,,,
Q100308659,Suzanne Chui Sutton,,,,,,,,
Q100308661,Jeanette C. Takamura,,,,,,,,
Q100308664,Rudolph D. Talarico,,,,,,,,
Q100308668,James R. Tallon Jr.,,,,,,,,
Q100308671,Udai Krishan Tambar,,,,,,,,
Q100308674,Amil Tan,,,,,,,,
Q100308677,Laurence R. Tancredi,,,,,,,,
Q100308681,Paul P. Tanico,,,,,,,,
Q100308684,Michael L. Tapper,,,,,,,,
Q100308687,Kenneth J. Tardiff,,,,,,,,
Q100308688,Robert J. Tashjian,,,,,,,,
Q100308691,Jephtha Tausig,,,,,,,,
Q100308696,Philip G. Taylor,,,,,,,,
Q100308699,Rosemary Ann Taylor,,,,,,,,
Q1003087,Pál Háportoni Forró,,,,,,,,
Q100308702,Joel L. Teicher,,,,,,,,
Q100308705,Khashayar Teimoori,,,,,,,,
Q100308708,Maurice Teitel,,,,,,,,
Q100308709,Paul A. Teixeira,,,,,,,,
Q100308711,Peter J. Tesler,,,,,,,,
Q100308712,George E. Thibault,,,,,,,,
Q100308714,Claudewell S. Thomas,,,,,,,,
Q100308715,Edwidge Thomas,,,,,,,,
Q100308717,Herbert E. Thomas,,,,,,,,
Q100308718,Jeffrey E. Thomas,,,,,,,,
Q100308720,Kerstin Boulogner,,,,,,,,
Q100308721,Rogelio I. Thomas,,,,,,,,
Q100308722,Sabratha Thomas,,,,,,,,
Q100308725,Paulette Thompson,,,,,,,,
Q100308726,Gerald Edmund Thomson,,,,,,,,
Q100308727,Charles H.M. Thorne,,,,,,,,
Q100308729,Herbert L. Thornhill,,,,,,,,
Q100308730,Kevin L. Thurm,,,,,,,,
Q100308731,Aleksandr Tichter,,,,,,,,
Q100308733,Marita G. Titler,,,,,,,,
Q100308734,Bhupendra M. Tolia,,,,,,,,
Q100308736,James Tomarken,,,,,,,,
Q100308737,Marjorie J. Topkins,,,,,,,,
Q100308739,Vivian Torres-Suarez,,,,,,,,
Q100308741,Anthony J. Tortolani,,,,,,,,
Q100308742,Felicidad B. Tortosa,,,,,,,,
Q100308743,Edmund Baggs,,,,,,,,
Q100308744,Riva Touger-Decker,,,,,,,,
Q100308747,Michael J. Trepal,,,,,,,,
Q100308748,Maurizio Trevisan,,,,,,,,
Q100308749,Giovanni Renesi,,,,,,,,
Q100308750,Marie Truglio-Londrigan,,,,,,,,
