entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q1000269,Conrad Keller,Конрад Келлер,,,,,,,
Q100026920,Noah Fatar,"Фатар, Ноа",نوح فطار,,,,,,
Q1000275,Miguel Molina,Мигель Молина,ميغيل مولينا,,,,,,
Q100027694,Ismaël Sow,,,,,,,,
Q100028,Jörg Hube,Йорг Хубе,,,イェルク・フーベ,,,,
Q1000282,Wilhelm Rohwedder,,,,,,,,
Q100028706,Raffaelle Sangermano,,,,,,,,
Q100029,Otto Hermann von Vietinghoff,Иван Фёдорович Фитингоф-Шель,,,オットー・ヘルマン・フォン・フィーティングホフ,,,,
Q1000290,Tracy Adams,Трэйси Адамс,تريسي آدامز,,,טרייסי אדמס,,,
Q1000292,Klaus Wagner,Клаус Вагнер,كلاوس فاغنر,克劳斯·瓦格纳,,,,,
Q1000296,Fred Carreiro,Фред,فرد,靴拔·費特列高·卡里路·達施華,,,,,
Q100029727,Logan Delaurier-Chaubet,,,,,,,,
Q100029799,Eugenio Torriani,,,,,,,,
Q1000299,Mikhail Chernikov,Михаил Юрьевич Черников,,,,,,,
Q100030,Alfred Ter-Mkrtychyan,Альфред Айрапетович Тер-Мкртчян,,,アルフレッド・ムクルキアン,,,,알프레트 테르므크르찬
Q1000309,Frank Lienert-Mondanelli,,,,,,,,
Q100031,Kaspar von Stieler,Каспар фон Штилер,,,カスパール・フォン・シュティーラー,,,,
Q1000310,Isabella Kossina,,,,,,,,
Q1000314,Tom O'Donnell,Том О’Доннелл,طوم أودونيل,汤姆·奥唐奈,,,,,
Q100031473,Amadou Traoré,Амаду Траоре,أحمد تراوري,,,,,,
Q1000315,Wulf-Dietrich Kavasch,,,,,,,,
Q1000318,Florina Gillnik,,,,,,,,
Q100031825,Francesco Campanella,,,,,,,,
Q100032108,Valentino Bertoja,,,,,,,,
Q100032134,Pietro Clausetti,,,,,,,,
Q100032162,Arturo de Cecco,,,,,,,,
Q100032165,Ottone Schanzer,,,,,,,,
Q1000323,Heinrich Wilhelm Lawätz,,,,,,,,
Q100032364,Peter Sedufia,,,,,,,,
Q1000324,Alexander Eisvogel,,,,,,,,
Q100033333,Giulio Fanti,,,,,,,,
Q100033357,Mouhamad Lamine Doumbouya,,,,,,,,
Q1000337,Lothar Curdt,,,,,,,,
Q100033837,Nova Scott-James,,,,,,,,
Q100034236,Yanis Saidani,,,,,,,,
Q100034287,Gaetano Orsini,,,,,,,,
Q100034703,Alexandre Fressange,,,,,,,,
Q1000348,Rainer Neu,,,,,,,,
Q100034951,Dimitris Xonoglou,,,,,,,Δημήτρης Ξόνογλου,
Q100035,Franz von Gaudy,,,,,,,,
Q100035128,Hélène Mourot,,,,,,,,
Q100035202,Abubakar  Ahmed,,,,,,,,
Q100035544,Etienne Green,Этьенн Грин,إتيان غرين,,エティエンヌ・グリーン,אטיין גרין,,,
